1)tuId,2)tuName,5)tuGenes
RDBECOLITUC00358,mepK-gloC,gloC;mepK;
RDBECOLITUC00359,asnS,asnS;
RDBECOLITUC00360,elfA,elfA;
RDBECOLITUC00361,elfDCG-ycbUVF,ycbF;ycbV;ycbU;elfG;elfC;elfD;
RDBECOLITUC00362,zapC,zapC;
RDBECOLITUC00363,ycbZ,ycbZ;
RDBECOLITUC00364,yccFS,yccF;yccS;
RDBECOLITUC00365,mgsA,mgsA;
RDBECOLITUC00366,yccT,csgI;
RDBECOLITUC00367,hspQ,hspQ;
RDBECOLITUC00368,rlmI,rlmI;
RDBECOLITUC00369,tusE,tusE;
RDBECOLITUC00370,yccA,yccA;
RDBECOLITUC00371,gfcE-etp-etk,gfcE;etp;etk;
RDBECOLITUC00372,gfcBCD,gfcB;gfcC;gfcD;
RDBECOLITUC00373,gfcA,gfcA;
RDBECOLITUC00374,insA4AB4B4,insB4;insA4;insAB4;
RDBECOLITUC00375,ymcE-gnsA,gnsA;ymcE;
RDBECOLITUC00376,yccM,yccM;
RDBECOLITUC00377,torS,torS;
RDBECOLITUC00378,yccE,yccE;
RDBECOLITUC00379,wrbA-yccJ,wrbA;yccJ;
RDBECOLITUC00380,efeU,efeU;
RDBECOLITUC00381,efeOB,efeB;efeO;
RDBECOLITUC00382,insE4F4EF4,insE4;insF4;insEF4;
RDBECOLITUC00383,ymdE-ycdU,ycdU;ymdE;
RDBECOLITUC00384,ghrA,ghrA;
RDBECOLITUC00385,ycdXY,ycdY;ycdX;
RDBECOLITUC00386,ycdZ,ycdZ;
RDBECOLITUC00387,ymdA,ymdA;
RDBECOLITUC00388,ymdB-clsC,clsC;ymdB;
RDBECOLITUC00389,yceK,yceK;
RDBECOLITUC00390,mdtG,mdtG;
RDBECOLITUC00391,yceJI,yceJ;yceI;
RDBECOLITUC00392,solA-yceO,solA;yceO;
RDBECOLITUC00393,dinI,dinI;
RDBECOLITUC00394,yceB,yceB;
RDBECOLITUC00395,grxB,grxB;
RDBECOLITUC00396,mdtH,mdtH;
RDBECOLITUC00397,murJ,murJ;
RDBECOLITUC00398,yceQ,yceQ;
RDBECOLITUC00399,rluC,rluC;
RDBECOLITUC00400,pabC-mltG-tmk-holB-ycfH,ycfH;holB;tmk;mltG;pabC;
RDBECOLITUC00401,hinT-ycfL-lpoB-thiK-nagZ-ycfP,ycfP;nagZ;thiK;lpoB;ycfL;hinT;
RDBECOLITUC00402,ycfJ,ycfJ;
RDBECOLITUC00403,ldtC,ldtC;
RDBECOLITUC00404,ycfT,ycfT;
RDBECOLITUC00405,lolCDE,lolE;lolD;lolC;
RDBECOLITUC00406,nagK-cobB,cobB;nagK;
RDBECOLITUC00407,ymfA-ycfZ,ymfA;ycfZ;
RDBECOLITUC00408,roxA,roxA;
RDBECOLITUC00409,rluE-nudJ,rluE;nudJ;
RDBECOLITUC00410,ymfED,ymfE;ymfD;
RDBECOLITUC00411,ymfH-xisE-intE,ymfH;xisE;intE;
RDBECOLITUC00412,ymfJ,ymfJ;
RDBECOLITUC00413,ymfK,ymfK;
RDBECOLITUC00414,ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP,tfaP;ycfK;ymfQ;jayE;beeE;ymfR;ymfN;ymfM;ymfL;ymfT;
RDBECOLITUC00415,stfE-tfaE,stfE;tfaE;
